Da­tum,Vi­deo,Vi­deo­ti­tel,Ver­öf­fent­li­chungs­zeit­punkt des Vi­de­os,Wie­der­ga­be­zeit (Stun­den)
2020-06-27,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5848
2020-06-28,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8812
2020-06-29,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.873
2020-06-30,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4271
2020-07-01,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7326
2020-07-02,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6864
2020-07-03,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.0254
2020-07-04,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7363
2020-07-05,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5012
2020-07-06,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.1134
2020-07-07,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7493
2020-07-08,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6977
2020-07-09,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8525
2020-07-10,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5309
2020-07-11,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.0146
2020-07-12,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6013
2020-07-13,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2584
2020-07-14,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.0958
2020-07-15,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4188
2020-07-16,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.9539
2020-07-17,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.6387
2020-07-18,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7404
2020-07-19,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6254
2020-07-20,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.0246
2020-07-21,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.2433
2020-07-22,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8789
2020-07-23,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",2.0014
2020-07-24,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.971
2020-07-25,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.441
2020-07-26,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6877
2020-07-27,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.4748
2020-07-28,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.2834
2020-07-29,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8082
2020-07-30,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.0795
2020-07-31,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.016
2020-08-01,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8211
2020-08-02,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.8632
2020-08-03,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.9537
2020-08-04,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4121
2020-08-05,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5721
2020-08-06,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6725
2020-08-07,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4789
2020-08-08,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2592
2020-08-09,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5629
2020-08-10,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7118
2020-08-11,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6791
2020-08-12,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0011
2020-08-13,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3041
2020-08-14,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0164
2020-08-15,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3307
