Da­tum,Wie­der­ga­be­zeit (Stun­den)
2021-04-21,16.9962
2021-04-22,16.8686
2021-04-23,16.3283
2021-04-24,11.3864
2021-04-25,18.1059
2021-04-26,18.5723
2021-04-27,16.0115
2021-04-28,20.3645
2021-04-29,20.5274
2021-04-30,15.5908
2021-05-01,15.1754
2021-05-02,17.5743
2021-05-03,21.004
2021-05-04,19.9352
2021-05-05,19.9657
2021-05-06,18.2267
2021-05-07,14.9667
2021-05-08,13.6934
2021-05-09,14.128
2021-05-10,20.827
2021-05-11,26.677
2021-05-12,18.8941
2021-05-13,17.3842
2021-05-14,16.1865
2021-05-15,16.3315
2021-05-16,22.9891
2021-05-17,19.6094
2021-05-18,24.0058
2021-05-19,19.0725
2021-05-20,18.8885
2021-05-21,15.4513
2021-05-22,11.3506
2021-05-23,15.8992
2021-05-24,19.8295
2021-05-25,25.2996
2021-05-26,22.2523
2021-05-27,18.6274
2021-05-28,12.5398
2021-05-29,14.7855
2021-05-30,15.1475
2021-05-31,20.4943
2021-06-01,18.5914
2021-06-02,18.4402
2021-06-03,19.455
2021-06-04,16.6448
2021-06-05,14.4399
2021-06-06,26.0446
2021-06-07,24.8286
2021-06-08,26.3846
2021-06-09,26.5112
2021-06-10,22.9922
2021-06-11,16.2697
2021-06-12,14.8166
2021-06-13,22.8136
2021-06-14,30.2234
2021-06-15,21.3722
2021-06-16,17.778
2021-06-17,22.2807
2021-06-18,14.704
2021-06-19,19.0027
2021-06-20,19.1009
2021-06-21,28.3837
2021-06-22,28.4185
2021-06-23,35.4955
2021-06-24,33.6386
2021-06-25,25.326
2021-06-26,23.6988
2021-06-27,31.3198
2021-06-28,29.5999
2021-06-29,23.3161
2021-06-30,27.1479
2021-07-01,25.8432
2021-07-02,20.1267
2021-07-03,18.1533
2021-07-04,23.9291
2021-07-05,28.1631
2021-07-06,27.5547
2021-07-07,26.9084
2021-07-08,26.7517
2021-07-09,25.9506
2021-07-10,19.1362
2021-07-11,27.8731
2021-07-12,27.2528
2021-07-13,33.7827
2021-07-14,31.5692
2021-07-15,39.329
2021-07-16,31.504
2021-07-17,28.7735
2021-07-18,38.7768
2021-07-19,36.5508
2021-07-20,43.7109
2021-07-21,34.0471
2021-07-22,37.1
2021-07-23,37.3826
2021-07-24,25.4517
2021-07-25,32.8632
2021-07-26,34.5355
2021-07-27,33.5853
2021-07-28,34.3791
2021-07-29,24.5713
2021-07-30,19.2708
2021-07-31,17.726
2021-08-01,21.5787
2021-08-02,27.9189
2021-08-03,22.0638
2021-08-04,15.9828
2021-08-05,15.8955
2021-08-06,13.8629
2021-08-07,19.818
2021-08-08,22.632
2021-08-09,13.4252
2021-08-10,12.1698
2021-08-11,11.6422
2021-08-12,14.7403
2021-08-13,10.1551
2021-08-14,6.24
2021-08-15,9.513
2021-08-16,10.7352
2021-08-17,10.9004
2021-08-18,10.6581
2021-08-19,12.0453
2021-08-20,8.8205
2021-08-21,6.8541
2021-08-22,10.0528
2021-08-23,11.7813
2021-08-24,10.3752
2021-08-25,11.4815
2021-08-26,12.3762
2021-08-27,9.9555
2021-08-28,10.6516
2021-08-29,17.2405
2021-08-30,12.0547
2021-08-31,11.5593
2021-09-01,8.7984
2021-09-02,8.1094
2021-09-03,6.4348
2021-09-04,7.2083
2021-09-05,6.5918
2021-09-06,13.7178
2021-09-07,16.0352
2021-09-08,16.3814
2021-09-09,13.3854
2021-09-10,11.1141
2021-09-11,10.2642
2021-09-12,11.4479
2021-09-13,15.1617
2021-09-14,12.1944
2021-09-15,11.0899
2021-09-16,12.9241
2021-09-17,13.7402
2021-09-18,9.525
2021-09-19,14.3236
2021-09-20,19.7454
2021-09-21,16.2633
2021-09-22,16.8663
2021-09-23,15.2759
2021-09-24,12.4647
2021-09-25,12.6957
2021-09-26,17.738
2021-09-27,18.1333
2021-09-28,19.0574
2021-09-29,21.0328
2021-09-30,16.611
2021-10-01,8.8923
2021-10-02,4.3219
2021-10-03,8.5466
2021-10-04,13.0212
2021-10-05,9.1743
2021-10-06,10.369
2021-10-07,11.3804
2021-10-08,10.1145
2021-10-09,4.7578
2021-10-10,5.1863
2021-10-11,9.9254
2021-10-12,12.0542
2021-10-13,11.2892
2021-10-14,12.926
2021-10-15,6.7644
2021-10-16,6.1822
2021-10-17,6.0382
2021-10-18,8.4585
2021-10-19,8.8796
2021-10-20,7.7191
2021-10-21,8.9385
2021-10-22,8.7667
2021-10-23,6.6411
2021-10-24,10.8517
2021-10-25,10.9734
2021-10-26,11.9225
2021-10-27,15.0057
2021-10-28,13.264
2021-10-29,8.8068
2021-10-30,6.9603
2021-10-31,8.4739
2021-11-01,13.6404
2021-11-02,9.3421
2021-11-03,12.0784
2021-11-04,13.6359
2021-11-05,14.8135
2021-11-06,7.3075
2021-11-07,10.9481
2021-11-08,13.2241
2021-11-09,14.4604
2021-11-10,15.0108
2021-11-11,12.3187
2021-11-12,9.241
2021-11-13,11.225
2021-11-14,15.1243
2021-11-15,13.1283
2021-11-16,18.082
2021-11-17,14.2808
2021-11-18,10.7149
2021-11-19,10.3657
2021-11-20,10.7746
2021-11-21,14.0245
2021-11-22,17.0203
2021-11-23,18.0838
2021-11-24,13.025
2021-11-25,13.2804
